G1 Point Diff,G2 Point Diff,G3 Point Diff,G4 Point Diff,G5 Point Diff,G6 Point Diff,G7 Point Diff
9,10,2,-1,-8,-3,10
11,11,-20,-6,-7,7,4
7,-8,4,-9,-7,2,6
9,11,-18,-11,25,-13,3
14,-4,7,-19,6,-16,13
25,-6,-3,2,16,-31,18
-5,8,8,-7,8,-14,29
13,10,-23,-10,6,-15,3
9,9,-5,-7,14,-18,19
19,-4,-7,13,2,-28,11
9,11,-18,-9,-8,2,2
15,22,-12,-14,17,-2,15
-12,12,13,-25,-10,1,3
13,2,-5,1,-5,-10,6
13,9,-18,-26,1,-8,3
-6,12,-4,5,5,-18,1
18,14,-8,-5,22,-2,17
-6,3,-33,4,18,-11,9
-40,8,2,25,-29,-13,14
3,-10,5,-11,17,-23,1
-22,5,1,7,-12,-5,7
9,-12,13,-2,6,-5,5
-1,19,-10,-2,2,2,1
1,-2,-4,5,-11,1,4
13,1,-8,3,-23,-2,3
14,-8,12,2,-4,-18,6
15,6,-10,-9,-6,1,4
-21,20,-2,-16,4,8,2
16,16,-31,14,-5,-28,6
-4,8,-1,4,-4,35,6
-2,12,9,-5,19,-5,6
9,9,-4,-11,7,-9,13
-5,1,12,-11,1,-4,2
-25,7,-8,4,-16,1,8
15,-26,-8,2,2,-1,7
3,-28,-12,2,10,-4,23
-11,14,15,-6,4,-6,19
18,-1,-7,5,-10,14,4
-3,7,6,-17,19,-5,8
11,-12,-9,8,1,-17,10
-9,5,1,-15,4,-4,2
15,-9,12,-8,9,-1,15
-4,27,-19,2,5,-16,7
9,4,9,-11,-9,-2,22
3,15,-10,-4,21,-8,3
-26,33,7,7,-1,-10,16
10,-20,14,-11,-5,19,11
4,-12,-4,4,3,-16,7
6,-1,2,-16,12,-7,2
-47,-9,2,11,-9,10,6
-8,-8,5,10,-9,6,4
1,10,-8,-10,26,-14,11
-14,12,8,15,-1,-4,8
-1,-19,26,21,-5,17,2
2,-13,13,27,-18,-3,7
19,13,-6,-4,10,-3,10
16,-13,-14,-10,17,11,35
3,7,-14,-10,21,-9,13
12,-2,3,-6,7,-22,14
19,10,-5,-17,22,-5,24
-4,2,-8,27,-15,3,11
-2,-6,6,1,-13,9,2
30,-3,22,-1,10,-11,13
23,14,-24,7,-11,-18,6
9,-7,-16,7,15,-5,9
-10,5,-19,-1,19,18,9
9,-9,-8,-5,18,8,4
23,9,-7,12,-12,-4,9
-4,20,14,5,-4,-8,2
10,-6,18,-3,6,-6,1
-5,35,-4,2,24,-28,10
-3,23,-5,18,5,-10,11
8,2,-13,-10,27,-8,15
28,-7,15,-4,15,-10,2
14,-7,-2,12,-5,14,3
-4,15,-6,1,-9,1,2
13,-7,4,-2,-7,21,11
18,-10,16,-10,25,-3,19
22,-2,22,-12,21,-12,5
-2,20,-2,5,15,-2,2
4,3,-7,-7,-3,5,1
11,-2,14,-11,11,-2,7
4,-8,5,-1,13,-8,17
27,15,7,-6,-3,-7,4
-2,1,28,-5,-7,23,39
